Bölüm,Ders Adı:,Sınav Tarihi:,Sınav Saati:,Sınıflar
Makine Mühendisliği (Ö.Ö),TDİ101 Türk Dili I,1/15/2024,12:30,E201
Makine Mühendisliği (Ö.Ö),TDİ101 Türk Dili I,1/15/2024,12:30,E202
Makine Mühendisliği (Ö.Ö),MKB307 Akışkanlar Mekaniği II,1/15/2024,13:30,E201
Makine Mühendisliği (Ö.Ö),MKB307 Akışkanlar Mekaniği II,1/15/2024,13:30,E202
Makine Mühendisliği (Ö.Ö),MKB307 Akışkanlar Mekaniği II,1/15/2024,13:30,E203
Makine Mühendisliği (Ö.Ö-İÖ),MKB405 Nümerik Kontrollü Takım Tezgahları,1/15/2024,15:30,E201
Makine Mühendisliği (Ö.Ö-İÖ),MKB405 Nümerik Kontrollü Takım Tezgahları,1/15/2024,15:30,E202
Makine Mühendisliği (Ö.Ö-İÖ),MKB405 Nümerik Kontrollü Takım Tezgahları,1/15/2024,15:30,E203
Makine Mühendisliği (Ö.Ö-İÖ),TRS105 Teknik Resim I,1/15/2024,16:30,E201
Makine Mühendisliği (Ö.Ö-İÖ),TRS105 Teknik Resim I,1/15/2024,16:30,E202
Makine Mühendisliği (Ö.Ö-İÖ),TRS105 Teknik Resim I,1/15/2024,16:30,E203
Makine Mühendisliği (Ö.Ö-İÖ),TRS105 Teknik Resim I,1/15/2024,16:30,E301
Makine Mühendisliği (Ö.Ö-İÖ),TRS105 Teknik Resim I,1/15/2024,16:30,E302
Makine Mühendisliği (İÖ),TDİ101 Türk Dili I,1/15/2024,17:30,E401
Makine Mühendisliği (İÖ),TDİ101 Türk Dili I,1/15/2024,17:30,E402
Makine Mühendisliği (İÖ),MKB205 Mukavemet I,1/15/2024,18:00,E401
Makine Mühendisliği (İÖ),MKB205 Mukavemet I,1/15/2024,18:00,E402
Makine Mühendisliği (İÖ),MKB205 Mukavemet I,1/15/2024,18:00,E403
Makine Mühendisliği (İÖ),MKB307 Akışkanlar Mekaniği II,1/15/2024,19:30,E401
Makine Mühendisliği (İÖ),MKB307 Akışkanlar Mekaniği II,1/15/2024,19:30,E402
Makine Mühendisliği (Ö.Ö),ATİ101 Atatürk İlkeleri ve İnkılâp Tarhi I,1/16/2024,12:30,E201
Makine Mühendisliği (Ö.Ö),ATİ101 Atatürk İlkeleri ve İnkılâp Tarhi I,1/16/2024,12:30,E202
Makine Mühendisliği (Ö.Ö),FZK107 Fizik I,1/16/2024,13:30,E201
Makine Mühendisliği (Ö.Ö),FZK107 Fizik I,1/16/2024,13:30,E202
Makine Mühendisliği (Ö.Ö),FZK107 Fizik I,1/16/2024,13:30,E203
Makine Mühendisliği (Ö.Ö-İÖ),MKSB417 Enerji Ekonomisi,1/16/2024,15:30,E301
Makine Mühendisliği (İÖ),BMB213 Bilgisayar Programlamasına Giriş,1/16/2024,15:30,E202
Makine Mühendisliği (İÖ),BMB213 Bilgisayar Programlamasına Giriş,1/16/2024,15:30,E203
Makine Mühendisliği (Ö.Ö-İÖ),MKSB402 Isı Değiştiricileri,1/16/2024,16:30,E302
Makine Mühendisliği (İÖ),ATİ101 Atatürk İlkeleri ve İnkılâp Tarhi I,1/16/2024,17:30,E401
Makine Mühendisliği (İÖ),FZK107 Fizik I,1/16/2024,18:00,E401
Makine Mühendisliği (İÖ),FZK107 Fizik I,1/16/2024,18:00,E402
Makine Mühendisliği (Ö.Ö),YDİ109 Yabancı Dil I (İngilizce),1/17/2024,12:30,E201
Makine Mühendisliği (Ö.Ö),YDİ109 Yabancı Dil I (İngilizce),1/17/2024,12:30,E202
Makine Mühendisliği (Ö.Ö),İSGL101 İş Sağlığı ve Güvenliği I,1/17/2024,13:30,E201
